# Gennaio
"Quest'anno, come sempre, la tua occasione migliore sei tu.","Lorenzo Paoli","Coach, esperto di abitudini"
"Non appena pretendi qualcosa, non appena ti aspetti qualcosa, hai perso!","Delphine De Vigan","Scrittrice francese"
"Le persone non fanno quello che dici loro di fare, ma quello che ti vedono fare. La tua vita è il loro esempio.","",""
"E' nei nostri momenti più bui che dobbiamo concentrarci per vedere la luce.","Aristotele Onassis","Armatore greco 20/01/1906 - 15/'3/1975"
"Nella vita non è mai troppo tardi per cambiare, per inseguire i propri sogni, per migliorare... Basta crederci! Nulla è impossibile se lo vuoi davvero!","",""
"La follia, quella sana, non curatela. Aumentatela!","",""
"Se sei pronto a correre il rischio, la vita dall'altra parte è spettacolare.","Dalla serie televisiva Grey's Anatomy",""
"Essere felici non significa che ogni cosa è perfetta. Significa che hai deciso di guardare oltre le imperfezioni.","Brahma Kumaris","Scuola di pace e meditazione"
"Quando qualcuno è sgarbato con te o ti tratta male, non prenderla sul personale. Non dice nulla su di te, ma molto su di lui.","",""
"Investite in ciò che vi fa stare bene. Il resto evitatelo con classe.","Angelo De Pascalis","Scrittore e blogger"
"E' un vero peccato che impariamo le lezioni della vita solo quando non ci servono più.","Oscar Wilde","Poeta, scrittore irlandese 16/10/1854 - 30/11/1900"
"Perfezione... che parola triste. Distrugge ogni margine di miglioramento, non contempla possibilità di crescita e, quel che è peggio, toglie spazio alla fantasia.","Serena Santorelli","Scrittrice"
"Nasciamo senza portare nulla, moriamo senza portare via nulla. E in mezzo litighiamo per possedere qualcosa.","Norandino","Condottiero turco 11/2/1118 - 15/5/1174"











# Marzo
"Quello che ottenete arrivando a destinazione non è tanto importante quanto ciò che diventate raggiungendola.","Epitteto","Filosofo greco 50 d.. 135 d.C."
"Ci sono momenti della vita in cui è necessario decidere, non puoi più rimandare. I compagni di viaggio saranno due: la paura e l'entusiasmo. Se uno dei due manca, hai preso la decisione sbagliata.","Enzo De Somma","Scrittore"
"Essere felici per niente o essere per nienre felici. Dipende da come sistemi le parole. Dipende da come sistemi le cose.","Gio Evan","Artista, scrittore e autore"
"L'arte di essere saggi è l'arte di capire a cosa si può passare sopra.","William James","Psicologo e filosofo statunitense 11/1/1842 - 26/08/1010"
"Ognuno di noi ha un paio d'ali, ma solo chi sogna impara a volare.","Jim Morrison","Cantautore e poeta statunitense 8/12/1943 - 3/7/1971"
"Chi davvero vuole può, ma per potere e volere, bisogna prima sapere e, soprattutto, osare.","Dal libro La profezia della Curandera, H.H. Mamani","Scrittore 3/3/1943 - 20/10/2016"
"Le persone più interessanti sono sempre il frutto di situazioni complicate.","Andrea De Carlo","Scrittore, musicista, pittore e fotografo"
"Invece di farmi gli auguri oggi e uccidermi domani, amami ogni giorno, nel modo giusto e nella giusta misura. Questo si chiama Amore.","Reana Rondina",""
"Le cose si vedono meglio quando la vita ci ha messo una distanza che le rende innoque.","Vinicio Capossela","Cantautore e scrittore"
"Non importa quanto duro sia stato il passato. Puoi sempre ricominciare da capo.","Buddha","Monaco, filosofo, mistico indiano 566 a.C. - 486 a.C."
"Qualunque cosa vogliate fare, fatela adesso. I domani sono contati.","Michael London","Attore e regista statunitense 31/10/1936 - 1/7/1991"
"Solo perché fallisci una volta non significa che fallirai in tutto. Tieni duro: continua a provare e credi sempre, sempre in te stesso perché se non lo fai tu, chi lo farà?","Marilyn Monroe","Attrice e cantante statunitense 1/6/1926 - 5/8/1962"
